year,week,crashes,week_start,four_week_average,group
2015,1,38,2000-01-01,67.33333333333333,2015
2015,2,81,2000-01-05,67.33333333333333,2015
2015,3,83,2000-01-12,67.33333333333333,2015
2015,4,90,2000-01-19,73.0,2015
2015,5,69,2000-01-26,80.75,2015
2015,6,96,2000-02-02,84.5,2015
2015,7,85,2000-02-09,85.0,2015
2015,8,72,2000-02-16,80.5,2015
2015,9,104,2000-02-23,89.25,2015
2015,10,93,2000-03-02,88.5,2015
2015,11,84,2000-03-09,88.25,2015
2015,12,70,2000-03-16,87.75,2015
2015,13,61,2000-03-23,77.0,2015
2015,14,88,2000-03-30,75.75,2015
2015,15,86,2000-04-06,76.25,2015
2015,16,88,2000-04-13,80.75,2015
2015,17,85,2000-04-20,86.75,2015
2015,18,109,2000-04-27,92.0,2015
2015,19,114,2000-05-04,99.0,2015
2015,20,91,2000-05-11,99.75,2015
2015,21,87,2000-05-18,100.25,2015
2015,22,95,2000-05-25,96.75,2015
2015,23,77,2000-06-01,87.5,2015
2015,24,91,2000-06-08,87.5,2015
2015,25,107,2000-06-15,92.5,2015
2015,26,91,2000-06-22,91.5,2015
2015,27,76,2000-06-29,91.25,2015
2015,28,80,2000-07-06,88.5,2015
2015,29,89,2000-07-13,84.0,2015
2015,30,75,2000-07-20,80.0,2015
2015,31,68,2000-07-27,78.0,2015
2015,32,73,2000-08-03,76.25,2015
2015,33,70,2000-08-10,71.5,2015
2015,34,93,2000-08-17,76.0,2015
2015,35,98,2000-08-24,83.5,2015
2015,36,76,2000-08-31,84.25,2015
2015,37,78,2000-09-07,86.25,2015
2015,38,99,2000-09-14,87.75,2015
2015,39,88,2000-09-21,85.25,2015
2015,40,91,2000-09-28,89.0,2015
2015,41,108,2000-10-05,96.5,2015
2015,42,92,2000-10-12,94.75,2015
2015,43,119,2000-10-19,102.5,2015
2015,44,127,2000-10-26,111.5,2015
2015,45,97,2000-11-02,108.75,2015
2015,46,93,2000-11-09,109.0,2015
2015,47,102,2000-11-16,104.75,2015
2015,48,93,2000-11-23,96.25,2015
2015,49,96,2000-11-30,96.0,2015
2015,50,87,2000-12-07,94.5,2015
2015,51,125,2000-12-14,100.25,2015
2015,52,87,2000-12-21,98.75,2015
2015,53,41,2000-12-28,85.0,2015
2016,1,89,2000-01-04,85.5,2016
2016,2,80,2000-01-11,74.25,2016
2016,3,76,2000-01-18,71.5,2016
2016,4,73,2000-01-25,79.5,2016
2016,5,98,2000-02-01,81.75,2016
2016,6,75,2000-02-08,80.5,2016
2016,7,89,2000-02-15,83.75,2016
2016,8,92,2000-02-22,88.5,2016
2016,9,88,2000-02-29,86.0,2016
2016,10,78,2000-03-07,86.75,2016
2016,11,92,2000-03-14,87.5,2016
2016,12,82,2000-03-21,85.0,2016
2016,13,71,2000-03-28,80.75,2016
2016,14,83,2000-04-04,82.0,2016
2016,15,90,2000-04-11,81.5,2016
2016,16,86,2000-04-18,82.5,2016
2016,17,100,2000-04-25,89.75,2016
2016,18,108,2000-05-02,96.0,2016
2016,19,93,2000-05-09,96.75,2016
2016,20,94,2000-05-16,98.75,2016
2016,21,83,2000-05-23,94.5,2016
2016,22,96,2000-05-30,91.5,2016
2016,23,95,2000-06-06,92.0,2016
2016,24,110,2000-06-13,96.0,2016
2016,25,85,2000-06-20,96.5,2016
2016,26,83,2000-06-27,93.25,2016
2016,27,66,2000-07-04,86.0,2016
2016,28,75,2000-07-11,77.25,2016
2016,29,91,2000-07-18,78.75,2016
2016,30,101,2000-07-25,83.25,2016
2016,31,86,2000-08-01,88.25,2016
2016,32,129,2000-08-08,101.75,2016
2016,33,95,2000-08-15,102.75,2016
2016,34,82,2000-08-22,98.0,2016
2016,35,93,2000-08-29,99.75,2016
2016,36,90,2000-09-05,90.0,2016
2016,37,96,2000-09-12,90.25,2016
2016,38,97,2000-09-19,94.0,2016
2016,39,102,2000-09-26,96.25,2016
2016,40,93,2000-10-03,97.0,2016
2016,41,113,2000-10-10,101.25,2016
2016,42,119,2000-10-17,106.75,2016
2016,43,121,2000-10-24,111.5,2016
2016,44,95,2000-10-31,112.0,2016
2016,45,89,2000-11-07,106.0,2016
2016,46,99,2000-11-14,101.0,2016
2016,47,94,2000-11-21,94.25,2016
2016,48,104,2000-11-28,96.5,2016
2016,49,123,2000-12-05,105.0,2016
2016,50,131,2000-12-12,113.0,2016
2016,51,101,2000-12-19,114.75,2016
2016,52,63,2000-12-26,104.5,2016
2016,53,21,2000-12-30,79.0,2016
2017,1,92,2000-01-02,69.25,2017
2017,2,79,2000-01-09,63.75,2017
2017,3,90,2000-01-16,70.5,2017
2017,4,77,2000-01-23,84.5,2017
2017,5,80,2000-01-30,81.5,2017
2017,6,88,2000-02-06,83.75,2017
2017,7,91,2000-02-13,84.0,2017
2017,8,73,2000-02-20,83.0,2017
2017,9,75,2000-02-27,81.75,2017
2017,10,105,2000-03-06,86.0,2017
2017,11,89,2000-03-13,85.5,2017
2017,12,92,2000-03-20,90.25,2017
2017,13,89,2000-03-27,93.75,2017
2017,14,95,2000-04-03,91.25,2017
2017,15,82,2000-04-10,89.5,2017
2017,16,82,2000-04-17,87.0,2017
2017,17,101,2000-04-24,90.0,2017
2017,18,93,2000-05-01,89.5,2017
2017,19,102,2000-05-08,94.5,2017
2017,20,104,2000-05-15,100.0,2017
2017,21,99,2000-05-22,99.5,2017
2017,22,78,2000-05-29,95.75,2017
2017,23,85,2000-06-05,91.5,2017
2017,24,84,2000-06-12,86.5,2017
2017,25,94,2000-06-19,85.25,2017
2017,26,95,2000-06-26,89.5,2017
2017,27,62,2000-07-03,83.75,2017
2017,28,72,2000-07-10,80.75,2017
2017,29,76,2000-07-17,76.25,2017
2017,30,75,2000-07-24,71.25,2017
2017,31,74,2000-07-31,74.25,2017
2017,32,84,2000-08-07,77.25,2017
2017,33,99,2000-08-14,83.0,2017
2017,34,98,2000-08-21,88.75,2017
2017,35,89,2000-08-28,92.5,2017
2017,36,85,2000-09-04,92.75,2017
2017,37,91,2000-09-11,90.75,2017
2017,38,83,2000-09-18,87.0,2017
2017,39,108,2000-09-25,91.75,2017
2017,40,114,2000-10-02,99.0,2017
2017,41,96,2000-10-09,100.25,2017
2017,42,104,2000-10-16,105.5,2017
2017,43,102,2000-10-23,104.0,2017
2017,44,108,2000-10-30,102.5,2017
2017,45,105,2000-11-06,104.75,2017
2017,46,105,2000-11-13,105.0,2017
2017,47,78,2000-11-20,99.0,2017
2017,48,131,2000-11-27,104.75,2017
2017,49,107,2000-12-04,105.25,2017
2017,50,100,2000-12-11,104.0,2017
2017,51,103,2000-12-18,110.25,2017
2017,52,66,2000-12-30,94.0,2017
2018,1,92,2000-01-01,90.25,2018
2018,2,100,2000-01-08,90.25,2018
2018,3,82,2000-01-15,85.0,2018
2018,4,83,2000-01-22,89.25,2018
2018,5,97,2000-01-29,90.5,2018
2018,6,83,2000-02-05,86.25,2018
2018,7,71,2000-02-12,83.5,2018
2018,8,91,2000-02-19,85.5,2018
2018,9,87,2000-02-26,83.0,2018
2018,10,116,2000-03-05,91.25,2018
2018,11,113,2000-03-12,101.75,2018
2018,12,92,2000-03-19,102.0,2018
2018,13,71,2000-03-26,98.0,2018
2018,14,81,2000-04-02,89.25,2018
2018,15,86,2000-04-09,82.5,2018
2018,16,89,2000-04-16,81.75,2018
2018,17,72,2000-04-23,82.0,2018
2018,18,109,2000-04-30,89.0,2018
2018,19,107,2000-05-07,94.25,2018
2018,20,103,2000-05-14,97.75,2018
2018,21,93,2000-05-21,103.0,2018
2018,22,93,2000-05-28,99.0,2018
2018,23,97,2000-06-04,96.5,2018
2018,24,96,2000-06-11,94.75,2018
2018,25,95,2000-06-18,95.25,2018
2018,26,102,2000-06-25,97.5,2018
2018,27,71,2000-07-02,91.0,2018
2018,28,77,2000-07-09,86.25,2018
2018,29,86,2000-07-16,84.0,2018
2018,30,80,2000-07-23,78.5,2018
2018,31,94,2000-07-30,84.25,2018
2018,32,93,2000-08-06,88.25,2018
2018,33,97,2000-08-13,91.0,2018
2018,34,117,2000-08-20,100.25,2018
2018,35,101,2000-08-27,102.0,2018
2018,36,90,2000-09-03,101.25,2018
2018,37,97,2000-09-10,101.25,2018
2018,38,106,2000-09-17,98.5,2018
2018,39,86,2000-09-24,94.75,2018
2018,40,104,2000-10-01,98.25,2018
2018,41,113,2000-10-08,102.25,2018
2018,42,96,2000-10-15,99.75,2018
2018,43,115,2000-10-22,107.0,2018
2018,44,131,2000-10-29,113.75,2018
2018,45,124,2000-11-05,116.5,2018
2018,46,103,2000-11-12,118.25,2018
2018,47,96,2000-11-19,113.5,2018
2018,48,111,2000-11-26,108.5,2018
2018,49,106,2000-12-03,104.0,2018
2018,50,130,2000-12-10,110.75,2018
2018,51,140,2000-12-17,121.75,2018
2018,52,59,2000-12-24,108.75,2018
2019,1,89,2000-01-02,104.5,2019
2019,2,81,2000-01-07,92.25,2019
2019,3,75,2000-01-14,76.0,2019
2019,4,82,2000-01-21,81.75,2019
2019,5,92,2000-01-28,82.5,2019
2019,6,90,2000-02-04,84.75,2019
2019,7,82,2000-02-11,86.5,2019
2019,8,105,2000-02-18,92.25,2019
2019,9,87,2000-02-25,91.0,2019
2019,10,87,2000-03-04,90.25,2019
2019,11,91,2000-03-11,92.5,2019
2019,12,109,2000-03-18,93.5,2019
2019,13,96,2000-03-25,95.75,2019
2019,14,116,2000-04-01,103.0,2019
2019,15,83,2000-04-08,101.0,2019
2019,16,73,2000-04-15,92.0,2019
2019,17,103,2000-04-22,93.75,2019
2019,18,83,2000-04-29,85.5,2019
2019,19,100,2000-05-06,89.75,2019
2019,20,104,2000-05-13,97.5,2019
2019,21,99,2000-05-20,96.5,2019
2019,22,100,2000-05-27,100.75,2019
2019,23,82,2000-06-03,96.25,2019
2019,24,85,2000-06-10,91.5,2019
2019,25,100,2000-06-17,91.75,2019
2019,26,92,2000-06-24,89.75,2019
2019,27,73,2000-07-01,87.5,2019
2019,28,104,2000-07-08,92.25,2019
2019,29,95,2000-07-15,91.0,2019
2019,30,81,2000-07-22,88.25,2019
2019,31,100,2000-07-29,95.0,2019
2019,32,89,2000-08-05,91.25,2019
2019,33,116,2000-08-12,96.5,2019
2019,34,103,2000-08-19,102.0,2019
2019,35,97,2000-08-26,101.25,2019
2019,36,100,2000-09-02,104.0,2019
2019,37,89,2000-09-09,97.25,2019
2019,38,111,2000-09-16,99.25,2019
2019,39,101,2000-09-23,100.25,2019
2019,40,109,2000-09-30,102.5,2019
2019,41,105,2000-10-07,106.5,2019
2019,42,107,2000-10-14,105.5,2019
2019,43,110,2000-10-21,107.75,2019
2019,44,116,2000-10-28,109.5,2019
2019,45,112,2000-11-04,111.25,2019
2019,46,107,2000-11-11,111.25,2019
2019,47,120,2000-11-18,113.75,2019
2019,48,87,2000-11-25,106.5,2019
2019,49,121,2000-12-02,108.75,2019
2019,50,122,2000-12-09,112.5,2019
2019,51,102,2000-12-16,108.0,2019
2019,52,70,2000-12-23,103.75,2019
2020,1,68,2000-01-01,90.5,20201
2020,2,102,2000-01-06,85.5,20201
2020,3,104,2000-01-13,86.0,20201
2020,4,71,2000-01-20,86.25,20201
2020,5,86,2000-01-27,90.75,20201
2020,6,91,2000-02-03,88.0,20201
2020,7,96,2000-02-10,86.0,20201
2020,8,85,2000-02-17,89.5,20201
2020,9,98,2000-02-24,92.5,20201
2020,10,84,2000-03-02,90.75,20201
2020,11,89,2000-03-09,89.0,20201
2020,11,89,2000-03-09,89.0,20202
2020,12,43,2000-03-16,78.5,20202
2020,13,36,2000-03-23,63.0,20202
2020,14,26,2000-03-30,48.5,20202
2020,15,34,2000-04-06,34.75,20202
2020,16,39,2000-04-13,33.75,20202
2020,17,33,2000-04-20,33.0,20202
2020,18,34,2000-04-27,35.0,20202
2020,19,37,2000-05-04,35.75,20202
2020,20,46,2000-05-11,37.5,20202
2020,21,42,2000-05-18,39.75,20202
2020,21,42,2000-05-18,39.75,20203
2020,22,63,2000-05-25,47.0,20203
2020,23,61,2000-06-01,53.0,20203
2020,24,61,2000-06-08,56.75,20203
2020,25,55,2000-06-15,60.0,20203
2020,26,60,2000-06-22,59.25,20203
2020,27,48,2000-06-29,56.0,20203
2020,28,59,2000-07-06,55.5,20203
2020,29,64,2000-07-13,57.75,20203
2020,30,54,2000-07-20,56.25,20203
2020,31,56,2000-07-27,58.25,20203
2020,32,54,2000-08-03,57.0,20203
2020,33,42,2000-08-10,51.5,20203
2020,34,60,2000-08-17,53.0,20203
2020,35,20,2000-08-24,44.0,20203
